№,Герб,Город,Регион,Федеральный округ,Население,Основание или первое упоминание,Статус города [5],Прежние названия
1,,Абаза,Хакасия,Сибирский,17111,1867,1966,"Абаканский Завод ,  Абаканско-Заводское"
2,,Абакан,Хакасия,Сибирский,165183,1734,1931,Усть-Абаканское  (до 1931)
3,,Абдулино,Оренбургская область,Приволжский,20663,1795,1923,
4,,Абинск,Краснодарский край,Южный,34926,1863,1963,Абинское  (до 1863); Абинская  (до 1962)
5,,Агидель,Башкортостан,Приволжский,16365,1980,1991,
6,,Агрыз,Татарстан,Приволжский,19299,1646,1938,
7,,Адыгейск,Адыгея,Южный,12689,1969,1976,Адыгейский  (до 1976); Теучежск  (до 1990)
8,,Азнакаево,Татарстан,Приволжский,34859,1762,1987,
9,,Азов,Ростовская область,Южный,82882,1067,1708,"Азак ,  Тана"
10,,Ак-Довурак,Тыва,Сибирский,13469,1964,1964,
11,,Аксай,Ростовская область,Южный,41984,1570,1957,Аксайская
12,,Алагир,Северная Осетия — Алания,Северо-Кавказский,20949,1850,1938,
13,,Алапаевск,Свердловская область,Уральский,38198,1639,1781,
14,,Алатырь,Чувашия,Приволжский,38202,1552,1552,
15,,Алдан,Якутия,Дальневосточный,21277,1924,1932,Незаметный  (до 1939)
16,,Алейск,Алтайский край,Сибирский,28528,1913,1939,
17,,Александров,Владимирская область,Центральный,61544,XIV век,1778,Александрова слобода
18,,Александровск,Пермский край,Приволжский,15022,1783,1951,
19,,Александровск-Сахалинский,Сахалинская область,Дальневосточный,10613,1869,1917,Александровский пост  (до 1926)
20,,Алексеевка,Белгородская область,Центральный,39026,1685,1954,
21,,Алексин,Тульская область,Центральный,61738,1348,1777,
22,,Алзамай,Иркутская область,Сибирский,6751,1899,1955,
23,,Алупка Оспаривается,Крым,Южный,7771,960,1938,"Алубика ,  Лупико"
24,,Алушта Оспаривается,Крым,Южный,29078,VI век,1902,"Луста ,  Алустон"
25,,Альметьевск,Татарстан,Приволжский,146309,XVIII век,1953,Альметьево  (до 1952)
26,,Амурск,Хабаровский край,Дальневосточный,42977,1958,1973,Падали-Восточное
27,,Анадырь,Чукотский АО,Дальневосточный,13053,1889,1965,Новомариинск  (до 1923)
28,,Анапа,Краснодарский край,Южный,58983,1781,1846,
29,,Ангарск,Иркутская область,Сибирский,233765,1948,1951,Майск
30,,Андреаполь,Тверская область,Центральный,8265,1907,1967,Андреяполь
31,,Анжеро-Судженск,Кемеровская область,Сибирский,76669,1896,1931,
32,,Анива,Сахалинская область,Дальневосточный,8449,1886,1946,Лютога  (до 1905); Рутака  (до 1946)
33,,Апатиты,Мурманская область,Северо-Западный,59690,1926,1966,Белый  (до 1926)
34,,Апрелевка,Московская область,Центральный,18467,1899,1961,
35,,Апшеронск,Краснодарский край,Южный,40229,1863,1947,
36,,Арамиль,Свердловская область,Уральский,14227,1675,1966,
37,,Аргун,Чечня,Северо-Кавказский,29528,XVIII век,1967,Устар-Гардой  (до 1944); Колхозное  (до 1962)
38,,Ардатов,Мордовия,Приволжский,9400,1671,1780,"Новотроицкое ,  Ардатово"
39,,Ардон,Северная Осетия — Алания,Северо-Кавказский,18774,1824,1964,
40,,Арзамас,Нижегородская область,Приволжский,106367,1552,1578,
41,,Аркадак,Саратовская область,Приволжский,12846,1721,1963,
42,,Армавир,Краснодарский край,Южный,188897,1839,1914,Армянский аул  (до 1848); Армавирский аул  (1876)
43,,Армянск Оспаривается,Крым,Южный,21987,1736,1993,Армянский Базар  (до 1921)
44,,Арсеньев,Приморский край,Дальневосточный,56742,1902,1952,Семёновка  (до 1952)
45,,Арск,Татарстан,Приволжский,18114,XIII век,2008,
46,,Артём,Приморский край,Дальневосточный,102636,1924,1938,Зыбунный
47,,Артёмовск,Красноярский край,Сибирский,2180,1700,1939,Ольховский  (до 1939)
48,,Артёмовский,Свердловская область,Уральский,32878,1665,1938,Егоршинские копи
49,,Архангельск,Архангельская область,Северо-Западный,348716,1584,1613,Новохолмогоры  (до 1613)
50,,Асбест,Свердловская область,Уральский,70067,1889,1933,Куделька  (до 1928)
51,,Асино,Томская область,Сибирский,25614,1896,1952,Ксеньевка  (до 1933)
52,,Астрахань,Астраханская область,Южный,520662,1558,1717,"Хаджи-Тархан ,  Аштархан"
53,,Аткарск,Саратовская область,Приволжский,25620,XVIII век,1780,
54,,Ахтубинск,Астраханская область,Южный,41898,1768,1959,Владимировка  (до 1959)
55,,Ачинск,Красноярский край,Сибирский,109156,1683,1782,
56,,Аша,Челябинская область,Уральский,31916,1898,1933,
57,,Бабаево,Вологодская область,Северо-Западный,12074,XV век,1925,
58,,Бабушкин,Бурятия,Сибирский,4542,1760,1902,Мысовский  (до 1892); Мысовая  (до 1902); Мысовск  (до 1941)
59,,Бавлы,Татарстан,Приволжский,22109,1658,1997,"Мансурово ,  Бавлы-Мансурово"
60,,Багратионовск,Калининградская область,Северо-Западный,6399,1336,1946,Прейсиш-Эйлау  (до 1946)
61,,Байкальск,Иркутская область,Сибирский,13589,1961,1966,
62,,Баймак,Башкортостан,Приволжский,17710,1850,1938,"Таналыково ,  Баймак-Таналыково"
63,,Бакал,Челябинская область,Уральский,20953,1757,1951,
64,,Баксан,Кабардино-Балкария,Северо-Кавказский,36857,1891,1967,Кучмазукино  (до 1920); Старая Крепость  (до 1960)
65,,Балабаново,Калужская область,Центральный,26337,1584,1972,
66,,Балаково,Саратовская область,Приволжский,199576,1762,1911,
67,,Балахна,Нижегородская область,Приволжский,51526,1474,1536,
68,,Балашиха,Московская область,Центральный,215353,1830,1939,
69,,Балашов,Саратовская область,Приволжский,82222,XVII век,1780,
70,,Балей,Забайкальский край,Сибирский,12536,1736,1932,Новотроицкий промысел  (до 1932)
