№,Слово,Часть речи
1,и,союз
2,в,предлог
3,не,частица
4,на,предлог
5,я,местоимение
6,быть,глагол
7,с,предлог
8,он,местоимение
9,что,союз
10,а,союз
11,это,местоимение
12,этот,местоимение
13,по,предлог
14,к,предлог
15,но,союз
16,они,местоимение
17,мы,местоимение
18,она,местоимение
19,как,союз
20,то,местоимение
21,который,местоимение
22,из,предлог
23,у,предлог
24,свой,местоимение
25,вы,местоимение
26,весь,местоимение
27,за,предлог
28,для,предлог
29,от,предлог
30,мочь,глагол
31,так,местоимение
32,ты,местоимение
33,о,предлог
34,что,местоимение
35,человек,существительное
36,же,частица
37,год,существительное
38,всё,наречие
39,такой,местоимение
40,тот,местоимение
41,или,союз
42,если,союз
43,только,частица
44,его,местоимение
45,один,местоимение
46,бы,частица
47,себя,местоимение
48,время,существительное
49,ещё,наречие
50,другой,местоимение
51,уже,наречие
52,когда,союз
53,сказать,глагол
54,до,предлог
55,мой,местоимение
56,наш,местоимение
57,чтобы,союз
58,становиться,глагол
59,говорить,глагол
60,самый,местоимение
61,знать,глагол
62,вот,частица
63,очень,наречие
64,кто,местоимение
65,при,предлог
66,день,существительное
67,можно,наречие
68,жизнь,существительное
69,первый,числительное
70,сам,местоимение
71,дело,существительное
72,два,числительное
73,новый,прилагательное
74,даже,частица
75,хотеть,глагол
76,должен,прилагательное
77,раз,существительное
78,их,местоимение
79,работа,существительное
80,какой,местоимение
81,иметь,глагол
82,со,предлог
83,там,местоимение
84,после,предлог
85,понимать,глагол
86,ли,частица
87,где,местоимение
88,рука,существительное
89,город,существительное
90,вопрос,существительное
91,её,местоимение
92,под,предлог
93,давать,глагол
94,слово,существительное
95,нет,наречие
96,место,существительное
97,каждый,местоимение
98,без,предлог
99,ребёнок,существительное
100,ну,частица
101,более,наречие
102,друг,существительное
103,идти,глагол
104,большой,прилагательное
105,просто,частица
106,начинать,глагол
107,чем,союз
108,сделать,глагол
109,ваш,местоимение
110,надо,наречие
111,здесь,местоимение
112,Россия,существительное
113,делать,глагол
114,видеть,глагол
115,потом,местоимение
116,да,союз
117,ничто,местоимение
118,получать,глагол
119,сейчас,местоимение
120,через,предлог
121,много,числительное
122,мир,существительное
123,теперь,местоимение
124,оставаться,глагол
125,случай,существительное
126,думать,глагол
127,ни,частица
128,сторона,существительное
129,хороший,прилагательное
130,глаз,существительное
131,тогда,местоимение
132,тут,местоимение
133,несколько,числительное
134,тоже,частица
135,приходить,глагол
136,дом,существительное
137,страна,существительное
138,работать,глагол
139,отвечать,глагол
140,последний,прилагательное
141,лицо,существительное
142,жить,глагол
143,сила,существительное
144,женщина,существительное
145,выходить,глагол
146,часть,существительное
147,также,частица
148,всегда,местоимение
149,являться,глагол
150,система,существительное
151,вид,существительное
152,голова,существительное
153,конец,существительное
154,находить,глагол
155,между,предлог
156,оказываться,глагол
157,хотя,союз
158,смотреть,глагол
159,конечно,наречие
160,проблема,существительное
161,принимать,глагол
162,спрашивать,глагол
163,проходить,глагол
164,отношение,существительное
165,три,числительное
166,второй,числительное
167,перед,предлог
168,лишь,частица
169,именно,частица
170,образ,существительное
171,поэтому,местоимение
172,почему,местоимение
173,Москва,существительное
174,любой,местоимение
175,однако,союз
176,никто,местоимение
177,час,существительное
178,решать,глагол
179,деньги,существительное
180,считать,глагол
181,над,предлог
182,земля,существительное
183,сегодня,наречие
184,русский,прилагательное
185,вообще,наречие
186,взять,глагол
187,книга,существительное
188,хорошо,наречие
189,пойти,глагол
190,некоторый,местоимение
191,компания,существительное
192,история,существительное
193,многие,местоимение
194,приходиться,глагол
195,любить,глагол
196,возможность,существительное
197,нужно,наречие
198,всё,местоимение
199,результат,существительное
200,больше,наречие
201,высокий,прилагательное
202,например,наречие
203,почти,наречие
204,писать,глагол
205,возвращаться,глагол
206,сидеть,глагол
207,уходить,глагол
208,твой,местоимение
209,машина,существительное
210,группа,существительное
211,пока,союз
212,находиться,глагол
213,право,существительное
214,увидеть,глагол
215,война,существительное
216,путь,существительное
217,что-то,местоимение
218,ведь,частица
219,стоять,глагол
220,имя,существительное
221,никогда,местоимение
222,помогать,глагол
223,стоить,глагол
224,ответ,существительное
225,появляться,глагол
226,бог,существительное
227,вода,существительное
228,совсем,наречие
229,язык,существительное
230,показывать,глагол
231,казаться,глагол
232,далеко,наречие
233,нужный,прилагательное
234,маленький,прилагательное
235,российский,прилагательное
236,решение,существительное
237,народ,существительное
238,рассказывать,глагол
239,власть,существительное
240,сразу,наречие
241,ночь,существительное
242,полный,прилагательное
243,никакой,местоимение
244,главный,прилагательное
245,оно,местоимение
246,дверь,существительное
247,часто,наречие
248,уровень,существительное
249,создавать,глагол
250,закон,существительное
251,развитие,существительное
252,программа,существительное
253,начало,существительное
254,написать,глагол
255,отец,существительное
256,нога,существительное
257,вместе,наречие
258,старый,прилагательное
259,момент,существительное
260,помощь,существительное
261,цель,существительное
262,следующий,прилагательное
263,число,существительное
264,подобный,прилагательное
265,разный,прилагательное
266,тысяча,существительное
267,про,предлог
268,общий,прилагательное
269,минута,существительное
270,информация,существительное
271,кроме,предлог
272,смочь,глагол
273,процесс,существительное
274,автор,существительное
275,форма,существительное
276,голос,существительное
277,месяц,существительное
278,мысль,существительное
279,свет,существительное
280,школа,существительное
281,действие,существительное
282,всякий,местоимение
283,качество,существительное
284,ситуация,существительное
285,область,существительное
286,внимание,существительное
287,следовать,глагол
288,дорога,существительное
289,использовать,глагол
290,собственный,прилагательное
291,замечать,глагол
292,взгляд,существительное
293,условие,существительное
294,молодой,прилагательное
295,мужчина,существительное
296,предлагать,глагол
297,снова,наречие
298,любовь,существительное
299,связь,существительное
300,важный,прилагательное
301,ждать,глагол
302,вдруг,наречие
